,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Jenis Rumah,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Projek,Location,Address,Link,Website Location
0,1 - 1 - T A M A N   C E M P A K A,CHONG TECK QUEE & SON SDN. BHD.,1,1-4/10-2022/03095(L),15 Oct 2021,14 Oct 2022,-,-,-,"1-1,",-,1-1/2359/2003(06),26 Oct 2002,11 Jun 2003,RM 0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1-1,"1, 1"
1,1 - 2 - S E T I A   I N D A H   ( P A N G S A P U R I   I N D A H   V I E W ),CHONG TECK QUEE & SON SDN. BHD.,1,1-4/10-2022/03095(L),15 Oct 2021,14 Oct 2022,-,-,-,"1-2,",-,-,-,-,RM 0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1-2,"2, 1"
2,1 - 3 - T A M A N   D E S A   J A W A   ( P 3 ),CHONG TECK QUEE & SON SDN. BHD.,1,1-4/10-2022/03095(L),15 Oct 2021,14 Oct 2022,-,-,-,"1-3,",-,1/120/1988(03),10 Mar 1987,09 Mar 1988,RM 0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1-3,"3, 1"
3,1 - 4 - T A M A N   S A U J A N A   I N D A H,CHONG TECK QUEE & SON SDN. BHD.,1,1-4/10-2022/03095(L),15 Oct 2021,14 Oct 2022,-,-,-,"1-4,",SIAP DENGAN: CCC PENUH,1-4/04-2020/01759(P),20 Apr 2019,19 Apr 2020,"RM 238,800.00","0mps - 3,080mps",RUMAH TERES,1,0,0,"3,080",42,10,"238,800.00","326,800.00",100.00,SIAP DENGAN: CCC PENUH,"[""3.918636, 102.385208""]",,https://teduh.kpkt.gov.my/project-swasta/1-4,"4, 1"
4,1 - 4 - T A M A N   S A U J A N A   I N D A H,CHONG TECK QUEE & SON SDN. BHD.,1,1-4/10-2022/03095(L),15 Oct 2021,14 Oct 2022,-,-,-,"1-4,",SIAP DENGAN: CCC PENUH,1-4/04-2020/01759(P),20 Apr 2019,19 Apr 2020,"RM 238,800.00","0mps - 3,080mps",RUMAH BERKEMBAR,2,0,0,0,4,4,"530,000.00","550,000.00",100.00,SIAP DENGAN: CCC PENUH,"[""3.918636, 102.385208""]",,https://teduh.kpkt.gov.my/project-swasta/1-4,"4, 1"
5,1 - 4 - T A M A N   S A U J A N A   I N D A H,CHONG TECK QUEE & SON SDN. BHD.,1,1-4/10-2022/03095(L),15 Oct 2021,14 Oct 2022,-,-,-,"1-4,",SIAP DENGAN: CCC PENUH,1-4/04-2020/01759(P),20 Apr 2019,19 Apr 2020,"RM 238,800.00","0mps - 3,080mps",RUMAH BERKEMBAR,2,0,0,0,1,1,"518,800.00","518,800.00",100.00,SIAP DENGAN: CCC PENUH,"[""3.918636, 102.385208""]",,https://teduh.kpkt.gov.my/project-swasta/1-4,"4, 1"
6,1 - 4 - T A M A N   S A U J A N A   I N D A H,CHONG TECK QUEE & SON SDN. BHD.,1,1-4/10-2022/03095(L),15 Oct 2021,14 Oct 2022,-,-,-,"1-4,",SIAP DENGAN: CCC PENUH,1-4/04-2020/01759(P),20 Apr 2019,19 Apr 2020,"RM 238,800.00","0mps - 3,080mps",RUMAH BERKEMBAR,1,0,0,0,4,4,"368,800.00","398,800.00",100.00,SIAP DENGAN: CCC PENUH,"[""3.918636, 102.385208""]",,https://teduh.kpkt.gov.my/project-swasta/1-4,"4, 1"
7,1 - 4 - T A M A N   S A U J A N A   I N D A H,CHONG TECK QUEE & SON SDN. BHD.,1,1-4/10-2022/03095(L),15 Oct 2021,14 Oct 2022,-,-,-,"1-4,",SIAP DENGAN: CCC PENUH,1-4/04-2020/01759(P),20 Apr 2019,19 Apr 2020,"RM 238,800.00","0mps - 3,080mps",RUMAH TERES,2,0,0,"2,800",15,9,"348,800.00","404,800.00",100.00,SIAP DENGAN: CCC PENUH,"[""3.918636, 102.385208""]",,https://teduh.kpkt.gov.my/project-swasta/1-4,"4, 1"
8,1 - 4 - T A M A N   S A U J A N A   I N D A H,CHONG TECK QUEE & SON SDN. BHD.,1,1-4/10-2022/03095(L),15 Oct 2021,14 Oct 2022,-,-,-,"1-4,",SIAP DENGAN: CCC PENUH,1-4/04-2020/01759(P),20 Apr 2019,19 Apr 2020,"RM 238,800.00","0mps - 3,080mps",RUMAH BERKEMBAR,2,0,0,0,1,1,"531,800.00","531,800.00",100.00,SIAP DENGAN: CCC PENUH,"[""3.918636, 102.385208""]",,https://teduh.kpkt.gov.my/project-swasta/1-4,"4, 1"
9,1 - 5 - T A M A N   S A U J A N A   I N D A H,CHONG TECK QUEE & SON SDN. BHD.,1,1-4/10-2022/03095(L),15 Oct 2021,14 Oct 2022,-,-,-,"1-5,",SIAP DENGAN: CCC PENUH,1-5/04-2020/0322(P),03 Apr 2018,02 Apr 2020,"RM 238,800.00","3,080mps",RUMAH TERES,1,0,0,"3,080",14,3,"238,800.00","294,800.00",100.00,SIAP DENGAN: CCC PENUH,"[""3.918636, 102.385208""]",,https://teduh.kpkt.gov.my/project-swasta/1-5,"5, 1"
10,1 - 5 - T A M A N   S A U J A N A   I N D A H,CHONG TECK QUEE & SON SDN. BHD.,1,1-4/10-2022/03095(L),15 Oct 2021,14 Oct 2022,-,-,-,"1-5,",SIAP DENGAN: CCC PENUH,1-5/04-2020/0322(P),03 Apr 2018,02 Apr 2020,"RM 238,800.00","3,080mps",RUMAH TERES,1,0,0,"3,080",14,1,"238,800.00","291,800.00",100.00,SIAP DENGAN: CCC PENUH,"[""3.918636, 102.385208""]",,https://teduh.kpkt.gov.my/project-swasta/1-5,"5, 1"
